[1] "Starting at 2025-05-21 09:51:48.017006"
[1] "tools/exomedepth/exomedepthParams.yaml"
[2] "datasets.yaml"                         
[3] "true"                                  
[1] "Params for this execution: list(phi.bins = 1, n.bins.reduced = 10000, transition.probability = 1e-04, expected.CNV.length = 50000)"
[1] "Datasets for this execution: list(dataset1 = list(include = FALSE, bams_dir = \"/yourPath/bams/\", bed_file = \"/yourPath/bed5.bed\", annotated_bed_file = \"/yourPath/annotated.bed.bed\", fasta_file = \"/yourPath/GRCh37_Ensembl_67.fa\", fasta_dict = \"/yourPath/GRCh37_Ensembl_67.dict\", validated_results_file = \"/yourPath/MLPAresults.txt\", validated_results_file_format = \"icr\", read_length = 101), mydataset = list(include = TRUE, bams_dir = \"/CNV/Sample_data\", bed_file = \"/CNV/CNVbenchmarkeR/gene_regions.bed\", annotated_bed_file = \"/annotated.bed.bed\", \n    fasta_file = \"/CNV/ref/Homo_sapiens_assembly38.fasta\", fasta_dict = \"/yourPath/GRCh37_Ensembl_67.dict\", validated_results_file = \"/CNV/CNVbenchmarkeR/ValidataionResult_CSR.csv\", validated_results_file_format = \"icr\", read_length = 101))"
[1] "Starting ExomeDepth for mydataset dataset"
Reference fasta file provided so ExomeDepth will compute the GC content in each window
Parse 33 BAM files
 [1] "/CNV/Sample_data/LI22850.bam"        "/CNV/Sample_data/LI23273.bam"       
[29] "/CNV/Sample_data/Sorted_LI25215.bam" "/CNV/Sample_data/Sorted_LI25216.bam"
[31] "/CNV/Sample_data/Sorted_LI25217.bam" "/CNV/Sample_data/Sorted_LI25218.bam"
[33] "/CNV/Sample_data/Sorted_LI25219.bam"
Now parsing /CNV/Sample_data/LI22850.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 21468
Now parsing /CNV/Sample_data/LI23273.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 23763
Now parsing /CNV/Sample_data/LI23901.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 24666
Now parsing /CNV/Sample_data/LI25641.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 27302
Now parsing /CNV/Sample_data/LI26223.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 25113
Now parsing /CNV/Sample_data/LI26224.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 20724
Now parsing /CNV/Sample_data/LI26226.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 21199
Now parsing /CNV/Sample_data/LI26252.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 20546
Now parsing /CNV/Sample_data/LI35301.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 18450
Now parsing /CNV/Sample_data/LI38070.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 16535
Now parsing /CNV/Sample_data/LI45665.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 40867
Now parsing /CNV/Sample_data/Sorted_LI22025.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 16466
Now parsing /CNV/Sample_data/Sorted_LI22026.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 20540
Now parsing /CNV/Sample_data/Sorted_LI25110.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 11863
Now parsing /CNV/Sample_data/Sorted_LI25111.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 16228
Now parsing /CNV/Sample_data/Sorted_LI25112.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 16268
Now parsing /CNV/Sample_data/Sorted_LI25113.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 20821
Now parsing /CNV/Sample_data/Sorted_LI25114.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 23731
Now parsing /CNV/Sample_data/Sorted_LI25115.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 20576
Now parsing /CNV/Sample_data/Sorted_LI25116.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 18074
Now parsing /CNV/Sample_data/Sorted_LI25117.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 14627
Now parsing /CNV/Sample_data/Sorted_LI25118.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 19372
Now parsing /CNV/Sample_data/Sorted_LI25119.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 14338
Now parsing /CNV/Sample_data/Sorted_LI25210.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 11202
Now parsing /CNV/Sample_data/Sorted_LI25211.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 19283
Now parsing /CNV/Sample_data/Sorted_LI25212.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 22907
Now parsing /CNV/Sample_data/Sorted_LI25213.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 15778
Now parsing /CNV/Sample_data/Sorted_LI25214.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 17088
Now parsing /CNV/Sample_data/Sorted_LI25215.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 15178
Now parsing /CNV/Sample_data/Sorted_LI25216.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 11941
Now parsing /CNV/Sample_data/Sorted_LI25217.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 17370
Now parsing /CNV/Sample_data/Sorted_LI25218.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 13582
Now parsing /CNV/Sample_data/Sorted_LI25219.bam
Parsing chromosome chr14
Parsing chromosome chr7
Parsing chromosome chrX
Parsing chromosome chr8
Parsing chromosome chr10
Parsing chromosome chr20
Parsing chromosome chr1
Parsing chromosome chr4
Parsing chromosome chr12
Number of counted fragments : 17018
Clinical indication
              not found, using all samples potentially as controls
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99118
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.9968
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99378
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99896
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99317
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99883
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99925
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.97979
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.9798
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.96583
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.97897
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99899
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99916
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99957
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.9997
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99939
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.9993
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99908
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99957
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99867
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.9997
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99938
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99989
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99979
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99955
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99967
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99637
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99919
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99001
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.97834
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99886
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Optimization of the choice of aggregate reference set, this process can take some time
Number of selected bins: 7
Now fitting the beta-binomial model on a data frame with 10 rows : this step can take a few minutes.
Now computing the likelihood for the different copy number states
Correlation between reference and tests count is 0.99947
To get meaningful result, this correlation should really be above 0.97. If this is not the case, consider the output of ExomeDepth as less reliable (i.e. most likely a high false positive rate)
Saving GenomicRanges results
Error in read.table(file = file, header = header, sep = sep, quote = quote,  : 
  no lines available in input
Calls: saveResultsFileToGR -> read.csv -> read.table
In addition: There were 50 or more warnings (use warnings() to see the first 50)
Execution halted
